timestamp,model_name,lr,n_epochs,version,strat,batch_size,best_epoch,best_test_accuracy,train_directory
20240723_091853,resnet50.tv_in1k,0.0001,50,v4,new1,16,25,65.9794,./BF/datasv4/strat_new1/train
20240723_092601,resnet101.tv_in1k,0.0001,50,v4,new1,16,3,63.9175,./BF/datasv4/strat_new1/train
20240723_093305,tf_efficientnetv2_m.in21k,0.0001,50,v4,new1,16,7,65.9794,./BF/datasv4/strat_new1/train
20240723_094051,tf_efficientnetv2_l.in21k,0.0001,50,v4,new1,16,47,61.8557,./BF/datasv4/strat_new1/train
20240723_094904,resnet50.tv_in1k,0.0001,50,v4,new3,16,25,67.0103,./BF/datasv4/strat_new3/train
20240723_095801,resnet101.tv_in1k,0.0001,50,v4,new3,16,31,69.0722,./BF/datasv4/strat_new3/train
20240723_100706,tf_efficientnetv2_m.in21k,0.0001,50,v4,new3,16,35,67.0103,./BF/datasv4/strat_new3/train
20240723_101657,tf_efficientnetv2_l.in21k,0.0001,50,v4,new3,16,40,67.0103,./BF/datasv4/strat_new3/train
20240723_102745,resnet50.tv_in1k,0.0001,50,v4,new5,16,36,69.0722,./BF/datasv4/strat_new5/train
20240723_103826,resnet101.tv_in1k,0.0001,50,v4,new5,16,8,67.0103,./BF/datasv4/strat_new5/train
20240723_104916,tf_efficientnetv2_m.in21k,0.0001,50,v4,new5,16,39,63.9175,./BF/datasv4/strat_new5/train
20240723_110122,tf_efficientnetv2_l.in21k,0.0001,50,v4,new5,16,43,86.5979,./BF/datasv4/strat_new5/train
20240723_111438,resnet50.tv_in1k,0.0001,50,v4,new10,16,22,61.8557,./BF/datasv4/strat_new10/train
20240723_112954,resnet101.tv_in1k,0.0001,50,v4,new10,16,43,62.8866,./BF/datasv4/strat_new10/train
20240723_114543,tf_efficientnetv2_m.in21k,0.0001,50,v4,new10,16,30,64.9484,./BF/datasv4/strat_new10/train
20240723_120308,tf_efficientnetv2_l.in21k,0.0001,50,v4,new10,16,29,80.4124,./BF/datasv4/strat_new10/train
20240723_131130,resnet50.tv_in1k,0.0001,50,v4,1,16,37,62.8866,./BF/datasv4/strat_1/train
20240723_131813,resnet101.tv_in1k,0.0001,50,v4,1,16,22,63.9175,./BF/datasv4/strat_1/train
20240723_132500,tf_efficientnetv2_m.in21k,0.0001,50,v4,1,16,22,67.0103,./BF/datasv4/strat_1/train
20240723_133217,tf_efficientnetv2_l.in21k,0.0001,50,v4,1,16,35,69.0722,./BF/datasv4/strat_1/train
20240723_134008,resnet50.tv_in1k,0.0001,50,v4,3,16,40,69.0722,./BF/datasv4/strat_3/train
20240723_134838,resnet101.tv_in1k,0.0001,50,v4,3,16,16,67.0103,./BF/datasv4/strat_3/train
20240723_135728,tf_efficientnetv2_m.in21k,0.0001,50,v4,3,16,14,67.0103,./BF/datasv4/strat_3/train
20240723_140703,tf_efficientnetv2_l.in21k,0.0001,50,v4,3,16,38,67.0103,./BF/datasv4/strat_3/train
20240723_141723,resnet50.tv_in1k,0.0001,50,v4,5,16,28,67.0103,./BF/datasv4/strat_5/train
20240723_142752,resnet101.tv_in1k,0.0001,50,v4,5,16,46,70.1031,./BF/datasv4/strat_5/train
20240723_143838,tf_efficientnetv2_m.in21k,0.0001,50,v4,5,16,34,76.2887,./BF/datasv4/strat_5/train
20240723_145028,tf_efficientnetv2_l.in21k,0.0001,50,v4,5,16,34,72.1649,./BF/datasv4/strat_5/train
20240723_150316,resnet50.tv_in1k,0.0001,50,v4,10,16,36,67.0103,./BF/datasv4/strat_10/train
20240723_151833,resnet101.tv_in1k,0.0001,50,v4,10,16,21,68.0412,./BF/datasv4/strat_10/train
20240723_153430,tf_efficientnetv2_m.in21k,0.0001,50,v4,10,16,7,64.9484,./BF/datasv4/strat_10/train
20240723_155127,tf_efficientnetv2_l.in21k,0.0001,50,v4,10,16,19,69.0722,./BF/datasv4/strat_10/train
